NOMBRE DE BUTS PAR MATCH
1
1
1
2
3
1
1
1
1
1
1
1
1
1
1
1
1
2
1
3
1
3
1
2
1
1
2
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
3
1
2
1
1
1
2
1
1
1
1
1
1
1
1
